Action,Timestamp
Add employee,2021-05-09 15:41:51.151
Calculate Heart Disease Risk,2021-05-09 15:51:02.474
Show medical records,2021-05-09 15:51:07.13
Add medical records,2021-05-09 16:01:15.498
Calculate Heart Disease Risk,2021-05-09 16:01:22.861
Add medical records,2021-05-09 19:29:40.202
Add medical records,2021-05-09 19:33:47.886
Add medical records,2021-05-09 19:35:02.943
Add medical records,2021-05-09 19:37:41.419
Show medical records,2021-05-09 19:37:45.056
Show medical records,2021-05-09 19:39:00.901
Add medical records,2021-05-09 19:39:31.774
Add medical records,2021-05-09 19:43:32.222
Show medical records,2021-05-09 20:15:42.051
Show medical records,2021-05-09 20:16:15.304
Show medical records,2021-05-09 20:17:14.852
Show medical records,2021-05-09 20:18:37.314
Calculate Heart Disease Risk,2021-05-09 20:18:52.479
Add appointment,2021-05-09 20:45:58.492
Show appointments,2021-05-09 20:46:03.049
Add appointment,2021-05-09 20:47:32.61
Show appointments,2021-05-09 20:47:38.419
Add appointment,2021-05-09 20:49:26.947
Show appointments,2021-05-09 20:49:32.4
Show appointments,2021-05-09 21:34:46.287
Show appointments,2021-05-09 21:34:51.32
Show appointments,2021-05-09 21:42:42.894
Show appointments,2021-05-09 21:44:01.521
Show appointments,2021-05-09 22:15:00.107
Add appointment,2021-05-09 22:15:43.219
Show appointments,2021-05-09 22:16:08.814
